Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF
VolumenUtilDiarioMasa,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.114,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
irca,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.144,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
POBLACION TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1182.398,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
DENSIDAD POBLACIONAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,1329.161,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
INDICE DE DESEMPENO INSTITUCIONAL,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,8.381,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
ACCESO A AGUA POTABLE ADECUADO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,37.091,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,3.619,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
COBERTURA DE ACUEDUCTO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,42.952,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
COBERTURA DE ACUEDUCTO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,32.439,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
COBERTURA DE ALCANTARILLADO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,3.032,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
COBERTURA DE ALCANTARILLADO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,7.181,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,,No Calculado,VIF no calculable por varianza nula de la variable.,Evaluar por separado debido a varianza nula; el VIF no es calculable.
CALIDAD DEL AGUA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,6.742,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
AGUAS RESIDUALES TRATADAS,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,5.555,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
Nivel_Minimo,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.028,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
CONDUCTIVIDAD ELECTRICA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,22.148,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.999,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
FOSFORO TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,14.559,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.
NITROGENO TOTAL,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,10.278,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.
OXIGENO DISUELTO (OD),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,7.54,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.
SOLIDOS SUSPENDIDOS TOTALES,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.722,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
TEMPERATURA,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
TURBIDEZ,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.645,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
pH,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.878,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.
