Variable,Tipo,Relaciones_Fuertes,Indice_Redundancia,Nivel_Redundancia,Diagnostico_Redundancia,VIF,Estado_VIF,Diagnostico_VIF,Recomendacion_VIF,Categoria,Importancia,Peso,Puntaje_Conocimiento_Dominio,% Cobertura,Puntaje_Calidad,Puntaje_Redundancia,Puntaje_Multicolinealidad
ACCESO A AGUA POTABLE ADECUADO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,37.091,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Infraestructura,Muy Alta,3,1.0,100.0,1.0,0.5,0.25
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,3.619,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Infraestructura,Muy Alta,3,1.0,100.0,1.0,1.0,1.0
COBERTURA DE ACUEDUCTO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,42.952,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Infraestructura,Alta,2,0.667,100.0,1.0,0.5,0.25
COBERTURA DE ACUEDUCTO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,32.439,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Infraestructura,Alta,2,0.667,100.0,1.0,0.5,0.25
COBERTURA DE ALCANTARILLADO URBANO,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,3.032,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Infraestructura,Alta,2,0.667,100.0,1.0,0.5,1.0
COBERTURA DE ALCANTARILLADO RURAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,7.181,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,Infraestructura,Alta,2,0.667,100.0,1.0,0.5,0.75
CONTINUIDAD DE ACUEDUCTO URBANO,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,,No Calculado,VIF no calculable por varianza nula de la variable.,Evaluar por separado debido a varianza nula; el VIF no es calculable.,Infraestructura,Alta,2,0.667,18.18,0.182,1.0,0.5
CALIDAD DEL AGUA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,6.742,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,Calidad del Agua,Muy Alta,3,1.0,18.18,0.182,0.5,0.75
AGUAS RESIDUALES TRATADAS,Numérica,2,1.0,Muy Alta,Participa en el máximo relativo de relaciones fuertes detectadas.,5.555,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,Infraestructura,Muy Alta,3,1.0,18.18,0.182,0.0,0.75
Nivel_Minimo,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.028,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Hidrológica,Muy Alta,3,1.0,16.48,0.165,1.0,1.0
CONDUCTIVIDAD ELECTRICA,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,22.148,Muy Alta,Se detecta multicolinealidad muy alta respecto al conjunto de variables.,Revisar multicolinealidad muy alta en conjunto con los demás criterios.,Calidad del Agua,Alta,2,0.667,9.47,0.095,0.5,0.25
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Muy Alta,3,1.0,4.92,0.049,1.0,1.0
DEMANDA QUIMICA DE OXIGENO (DQO),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.999,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Muy Alta,3,1.0,9.28,0.093,1.0,1.0
FOSFORO TOTAL,Numérica,1,0.5,Moderada,Participa en un nivel intermedio de relaciones fuertes detectadas.,14.559,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.,Calidad del Agua,Alta,2,0.667,9.28,0.093,0.5,0.5
NITROGENO TOTAL,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,10.278,Alta,Se detecta multicolinealidad alta respecto al conjunto de variables.,Considerar la dependencia lineal en la evaluación posterior.,Calidad del Agua,Alta,2,0.667,5.49,0.055,1.0,0.5
OXIGENO DISUELTO (OD),Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,7.54,Moderada,Se detecta multicolinealidad moderada respecto al conjunto de variables.,Mantener bajo observación dentro de la evaluación multivariable.,Calidad del Agua,Muy Alta,3,1.0,9.47,0.095,1.0,0.75
SOLIDOS SUSPENDIDOS TOTALES,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.722,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Alta,2,0.667,9.47,0.095,1.0,1.0
TEMPERATURA,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.965,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Alta,2,0.667,9.47,0.095,1.0,1.0
TURBIDEZ,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,1.645,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Alta,2,0.667,6.44,0.064,1.0,1.0
pH,Numérica,0,0.0,Muy Baja,No presenta relaciones fuertes bajo el criterio definido.,2.878,Baja,Se detecta baja multicolinealidad respecto al conjunto de variables.,Sin señal crítica de multicolinealidad bajo este criterio.,Calidad del Agua,Muy Alta,3,1.0,9.47,0.095,1.0,1.0
